Sym,LotSize,Start,End,Expiry,StopLoss15,StopLoss60
TCS,300,2020-12-24,2021-01-22,2021-01-21,20,40
TCS,300,2021-01-22,2021-02-19,2021-02-18,20,40
TCS,300,2021-02-19,2021-03-19,2021-03-18,20,40
TCS,300,2021-03-19,2021-04-23,2021-04-22,20,40
TCS,300,2021-04-23,2021-05-21,2021-05-20,20,40
TCS,300,2021-05-21,2021-06-18,2021-06-17,20,40
TCS,300,2021-06-18,2021-07-23,2021-07-22,20,40
TCS,300,2021-07-23,2021-08-19,2021-08-18,20,40
TCS,300,2021-08-19,2021-09-24,2021-09-23,20,40
TCS,300,2021-09-24,2021-10-22,2021-10-21,20,40
TCS,150,2021-10-22,2021-11-19,2021-11-18,40,80
TCS,150,2021-11-19,2021-12-24,2021-12-23,40,80
