Sym,LotSize,Start,End,Expiry,StopLoss15,StopLoss60
NIFTY,75,2016-12-23,2017-01-20,2017-01-19,80,135
NIFTY,75,2017-01-20,2017-02-17,2017-02-16,80,135
NIFTY,75,2017-02-17,2017-03-24,2017-03-23,80,135
NIFTY,75,2017-03-24,2017-04-21,2017-04-20,80,135
NIFTY,75,2017-04-21,2017-05-19,2017-05-18,80,135
NIFTY,75,2017-05-19,2017-06-23,2017-06-22,80,135
NIFTY,75,2017-06-23,2017-07-21,2017-07-20,80,135
NIFTY,75,2017-07-21,2017-08-25,2017-08-24,80,135
NIFTY,75,2017-08-25,2017-09-22,2017-09-21,80,135
NIFTY,75,2017-09-22,2017-10-19,2017-10-18,80,135
NIFTY,75,2017-10-19,2017-11-24,2017-11-23,80,135
NIFTY,75,2017-11-24,2017-12-22,2017-12-21,80,135
