Sym,LotSize,Start,End,RSI,ADXMin,ADXMax,StopLoss,StopGain
AARTIIND,850,2021-01-01,2022-01-01,70,30,40,6500,13000
ABBOTINDIA,25,2021-01-01,2022-01-01,70,30,40,6500,13000
ABFRL,2600,2021-01-01,2022-01-01,70,30,40,6500,13000
ACC,250,2021-01-01,2022-01-01,70,30,40,6500,13000
ADANIENT,500,2021-01-01,2022-01-01,70,30,40,6500,13000
ADANIPORTS,1250,2021-01-01,2022-01-01,70,30,40,6500,13000
ALKEM,200,2021-01-01,2022-01-01,70,30,40,6500,13000
AMARAJABAT,1000,2021-01-01,2022-01-01,70,30,40,6500,13000
AMBUJACEM,1500,2021-01-01,2022-01-01,70,30,40,6500,13000
APLLTD,700,2021-01-01,2022-01-01,70,30,40,6500,13000
APOLLOHOSP,125,2021-01-01,2022-01-01,70,30,40,6500,13000
APOLLOTYRE,2500,2021-01-01,2022-01-01,70,30,40,6500,13000
ASHOKLEY,4500,2021-01-01,2022-01-01,70,30,40,6500,13000
ASIANPAINT,150,2021-01-01,2022-01-01,70,30,40,6500,13000
ASTRAL,275,2021-01-01,2022-01-01,70,30,40,6500,13000
ATUL,75,2021-01-01,2022-01-01,70,30,40,6500,13000
AUBANK,500,2021-01-01,2022-01-01,70,30,40,6500,13000
AUROPHARMA,750,2021-01-01,2022-01-01,70,30,40,6500,13000
AXISBANK,1200,2021-01-01,2022-01-01,70,30,40,6500,13000
BAJAJ-AUTO,250,2021-01-01,2022-01-01,70,30,40,6500,13000
BAJAJFINSV,50,2021-01-01,2022-01-01,70,30,40,6500,13000
BAJFINANCE,125,2021-01-01,2022-01-01,70,30,40,6500,13000
BALKRISIND,200,2021-01-01,2022-01-01,70,30,40,6500,13000
BANDHANBNK,1800,2021-01-01,2022-01-01,70,30,40,6500,13000
BANKBARODA,11700,2021-01-01,2022-01-01,70,30,40,6500,13000
BANKNIFTY,100,2021-01-01,2022-01-01,70,30,40,6500,13000
BATAINDIA,550,2021-01-01,2022-01-01,70,30,40,6500,13000
BEL,3800,2021-01-01,2022-01-01,70,30,40,6500,13000
BERGEPAINT,1100,2021-01-01,2022-01-01,70,30,40,6500,13000
BHARATFORG,750,2021-01-01,2022-01-01,70,30,40,6500,13000
BHARTIARTL,950,2021-01-01,2022-01-01,70,30,40,6500,13000
BHEL,10500,2021-01-01,2022-01-01,70,30,40,6500,13000
BIOCON,2300,2021-01-01,2022-01-01,70,30,40,6500,13000
BOSCHLTD,50,2021-01-01,2022-01-01,70,30,40,6500,13000
BPCL,1800,2021-01-01,2022-01-01,70,30,40,6500,13000
BRITANNIA,200,2021-01-01,2022-01-01,70,30,40,6500,13000
BSOFT,1300,2021-01-01,2022-01-01,70,30,40,6500,13000
CADILAHC,1100,2021-01-01,2022-01-01,70,30,40,6500,13000
CANBK,5400,2021-01-01,2022-01-01,70,30,40,6500,13000
CANFINHOME,975,2021-01-01,2022-01-01,70,30,40,6500,13000
CHAMBLFERT,1500,2021-01-01,2022-01-01,70,30,40,6500,13000
CHOLAFIN,1250,2021-01-01,2022-01-01,70,30,40,6500,13000
CIPLA,650,2021-01-01,2022-01-01,70,30,40,6500,13000
COALINDIA,4200,2021-01-01,2022-01-01,70,30,40,6500,13000
COFORGE,100,2021-01-01,2022-01-01,70,30,40,6500,13000
COLPAL,350,2021-01-01,2022-01-01,70,30,40,6500,13000
CONCOR,800,2021-01-01,2022-01-01,70,30,40,6500,13000
COROMANDEL,625,2021-01-01,2022-01-01,70,30,40,6500,13000
CROMPTON,1100,2021-01-01,2022-01-01,70,30,40,6500,13000
CUB,3400,2021-01-01,2022-01-01,70,30,40,6500,13000
CUMMINSIND,600,2021-01-01,2022-01-01,70,30,40,6500,13000
DABUR,1250,2021-01-01,2022-01-01,70,30,40,6500,13000
DALBHARAT,250,2021-01-01,2022-01-01,70,30,40,6500,13000
DEEPAKNTR,250,2021-01-01,2022-01-01,70,30,40,6500,13000
DELTACORP,2300,2021-01-01,2022-01-01,70,30,40,6500,13000
DIVISLAB,100,2021-01-01,2022-01-01,70,30,40,6500,13000
DIXON,125,2021-01-01,2022-01-01,70,30,40,6500,13000
DLF,1650,2021-01-01,2022-01-01,70,30,40,6500,13000
DRREDDY,125,2021-01-01,2022-01-01,70,30,40,6500,13000
EICHERMOT,350,2021-01-01,2022-01-01,70,30,40,6500,13000
ESCORTS,550,2021-01-01,2022-01-01,70,30,40,6500,13000
EXIDEIND,3600,2021-01-01,2022-01-01,70,30,40,6500,13000
FEDERALBNK,10000,2021-01-01,2022-01-01,70,30,40,6500,13000
FSL,2600,2021-01-01,2022-01-01,70,30,40,6500,13000
GAIL,6100,2021-01-01,2022-01-01,70,30,40,6500,13000
GLENMARK,1150,2021-01-01,2022-01-01,70,30,40,6500,13000
GMRINFRA,22500,2021-01-01,2022-01-01,70,30,40,6500,13000
GODREJCP,500,2021-01-01,2022-01-01,70,30,40,6500,13000
GODREJPROP,325,2021-01-01,2022-01-01,70,30,40,6500,13000
GRANULES,1550,2021-01-01,2022-01-01,70,30,40,6500,13000
GRASIM,475,2021-01-01,2022-01-01,70,30,40,6500,13000
GSPL,1700,2021-01-01,2022-01-01,70,30,40,6500,13000
GUJGASLTD,1250,2021-01-01,2022-01-01,70,30,40,6500,13000
HAL,475,2021-01-01,2022-01-01,70,30,40,6500,13000
HAVELLS,500,2021-01-01,2022-01-01,70,30,40,6500,13000
HCLTECH,700,2021-01-01,2022-01-01,70,30,40,6500,13000
HDFC,300,2021-01-01,2022-01-01,70,30,40,6500,13000
HDFCAMC,200,2021-01-01,2022-01-01,70,30,40,6500,13000
