Sym,LotSize,Start,End,Expiry,StopLoss
BANKNIFTY,25,2021-01-01,2021-01-29,2021-01-28,200
BANKNIFTY,25,2021-01-29,2021-02-26,2021-02-25,200
BANKNIFTY,25,2021-02-26,2021-03-26,2021-03-25,200
BANKNIFTY,25,2021-03-26,2021-04-30,2021-04-29,200
BANKNIFTY,25,2021-04-30,2021-05-28,2021-05-27,200
BANKNIFTY,25,2021-05-28,2021-06-25,2021-06-24,200
BANKNIFTY,25,2021-06-25,2021-07-30,2021-07-29,200
BANKNIFTY,25,2021-07-30,2021-08-27,2021-08-26,200
BANKNIFTY,25,2021-08-27,2021-10-01,2021-09-30,200
BANKNIFTY,25,2021-10-01,2021-10-29,2021-10-28,200
BANKNIFTY,25,2021-10-29,2021-11-26,2021-11-25,200
BANKNIFTY,25,2021-11-26,2021-12-31,2021-12-30,200
