Sym,LotSize,Start,End,Expiry,StopLoss15,StopLoss60
NIFTY,75,2019-12-28,2020-01-31,2020-01-30,80,135
NIFTY,75,2020-01-31,2020-02-28,2020-02-27,80,135
NIFTY,75,2020-02-28,2020-03-27,2020-03-26,80,135
NIFTY,75,2020-03-27,2020-05-01,2020-04-30,80,135
NIFTY,75,2020-05-01,2020-05-29,2020-05-28,80,135
NIFTY,75,2020-05-29,2020-06-26,2020-06-25,80,135
NIFTY,75,2020-06-26,2020-07-31,2020-07-30,80,135
NIFTY,75,2020-07-31,2020-08-28,2020-08-27,80,135
NIFTY,75,2020-08-28,2020-09-25,2020-09-24,80,135
NIFTY,75,2020-09-25,2020-10-30,2020-10-29,80,135
NIFTY,75,2020-10-30,2020-11-27,2020-11-26,80,135
NIFTY,75,2020-11-27,2021-01-01,2020-12-31,80,135
